Name	price
Aceline CM-408BU	200
ZET GAMING Edge Air Ultra V2	4999
Oklick 185V2	389
Oklick 775G Ice Claw	449
Logitech G102 LightSync	2699
Acer OMW121	879
SteelSeries Rival 3	3950
MSI Clutch GM08	1394
A4TECH Bloody P91s	1429
MSI Clutch GM41 Lightweight	4649
A4Tech Bloody V7	1799
HIPER Aero A-2	1949
Acer OMW150	1349
A4Tech X-710BK	2099
A4TECH Bloody P93s Bullet	2159
A4TECH Oscar Editor XL-747H	2169
HIPER Quantum QM-2	2269
Dream Machines DM1 Pro S2	2550
A4Tech Bloody V8	1799
DELL MS5120W	3149
SUNWIND SW-M800G	729
HyperX Pulsefire CORE HX-MC004B	3699
MSI Clutch GM50	3509
ASUS 90MP02C0-BMUA00	4319
HyperX Pulsefire Haste	4599
Razer DeathAdder Essential	1999
Razer BASILISK X HYPERSPEED	4999
ZET GAMING Immortality PRO Wireless	4999
Defender Cyber MB-560L	286
